sample_name,life_stage_age,simple_biosample_summary,target,input
crc_ENCSR273JZM_rep1,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain crc-MiMIC-GFP MI02300 genetically modified (insertion) using site-specific recombination targeting D. melanogaster crc,crc,input_ENCSR479BNA_rep1
crc_ENCSR273JZM_rep2,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain crc-MiMIC-GFP MI02300 genetically modified (insertion) using site-specific recombination targeting D. melanogaster crc,crc,input_ENCSR479BNA_rep1
CG8924_ENCSR274AAR_rep1,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CG8924 VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG8924,CG8924,input_ENCSR857ANW_rep1
CG8924_ENCSR274AAR_rep2,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CG8924 VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG8924,CG8924,input_ENCSR857ANW_rep1
CG8924_ENCSR274AAR_rep3,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CG8924 VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG8924,CG8924,input_ENCSR857ANW_rep1
CG8924_ENCSR274AAR_rep4,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CG8924 VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG8924,CG8924,input_ENCSR857ANW_rep1
salm_ENCSR276LGX_rep1,embryonic 0-16 hours,embryo (0-16 hours) strain salm VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster salm,salm,input_ENCSR013WUH_rep1
salm_ENCSR276LGX_rep2,embryonic 0-16 hours,embryo (0-16 hours) strain salm VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster salm,salm,input_ENCSR013WUH_rep1
CG6808_ENCSR278IBK_rep1,prepupa 24 days,mixed sex prepupa (24 days) strain CG6808-GFP attP-40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG6808,CG6808,input_ENCSR615VYC_rep1
CG6808_ENCSR278IBK_rep2,prepupa 24 days,mixed sex prepupa (24 days) strain CG6808-GFP attP-40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG6808,CG6808,input_ENCSR615VYC_rep1
CG6808_ENCSR278IBK_rep3,prepupa 24 days,mixed sex prepupa (24 days) strain CG6808-GFP attP-40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG6808,CG6808,input_ENCSR615VYC_rep1
crp_ENCSR279HMO_rep1,embryonic 0-16 hours,mixed sex embryo (0-16 hours) strain crp-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster crp,crp,input_ENCSR040UNE_rep1
crp_ENCSR279HMO_rep3,embryonic 0-16 hours,mixed sex embryo (0-16 hours) strain crp-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster crp,crp,input_ENCSR040UNE_rep1
Hr78_ENCSR280XEB_rep1,embryonic 8-16 hours,mixed sex embryo (8-16 hours) strain Hr78-GFP VK00037 stably expressing C-terminal eGFP-tagged Hr78,Hr78,input_ENCSR647WJL_rep1
Hr78_ENCSR280XEB_rep3,embryonic 8-16 hours,mixed sex embryo (8-16 hours) strain Hr78-GFP VK00037 stably expressing C-terminal eGFP-tagged Hr78,Hr78,input_ENCSR647WJL_rep1
ara_ENCSR283CFB_rep1,embryonic 0-24 hours,embryo (0-24 hours) strain ara-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster ara,ara,input_ENCSR966CJP_rep1
ara_ENCSR283CFB_rep2,embryonic 0-24 hours,embryo (0-24 hours) strain ara-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster ara,ara,input_ENCSR966CJP_rep1
HLH106_ENCSR288BZG_rep1,NA,mixed sex wandering third instar larva strain SREBP attP40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster SREBP,HLH106,input_ENCSR331EDA_rep1
HLH106_ENCSR288BZG_rep2,NA,mixed sex wandering third instar larva strain SREBP attP40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster SREBP,HLH106,input_ENCSR331EDA_rep1
HLH106_ENCSR288BZG_rep3,NA,mixed sex wandering third instar larva strain SREBP attP40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster SREBP,HLH106,input_ENCSR331EDA_rep1
Dip2_ENCSR288VXK_rep1,embryonic 0-18 hours,embryo (0-18 hours) strain Dip2-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster Dlip2,Dip2,input_ENCSR753WWN_rep1
